author,comment,likes
@SingAsik-d3g,"Keren&quot; kk, kalo beda kesurupan  sama dimedium apa y kk?",0
@bambanghermantohermanto3115,Kenapa sih kk day tampil y jarang2 di DMS kesan y seperti di anak tirikan😂,0
@ezamunn2645,"seneng banget mas nunu sekarang lebih ekspresif lebih berani tampil, kalo inget waktu dms yang jaman dulu banget mas nunu kayaa malu, ragu, banyak diemnya😂",0
@BeatrixSaka,❤❤❤,0
@JohanArmando-l9p,Di Pakuwon trade center lewat jalan LONTAR... Menuju paku Buwono,0
@JohanArmando-l9p,"Bukan disitu buk Sarah Sechan...di JMP,PGS,di MALL Malioboro Yogyakarta,..ke pasar Pucang Anom",0
@ido03,COLLAB SAMA GHOST RANGER  DONG!!!!!!! PASTI SERUU BANGET KAYA OM HAO TUH❤❤❤❤❤,0
@taffyaptaaa,KANGENNNN BANG FADDDDDIIIIIIIIII IKUT PENULUSURAN,0
@sitisyarifahfauziah1212,Episode 3 &amp; 4 nya gk nemu 😢😢,0
@rarashakilaal-hafizi8069,Kalau ada siluman ular bgtu ada kemungkinan ga sih kalau di situ banyak ularnya? Atau malah jdi sarang ular?,0
@Nada-f4u,Aku buka YouTube ternyata blum tayang kelanjutannya kak sara pliss tayangin dong,1
@TriWijayanti-i1b,Dtnggu episode barunya nyai😊,0
@JohanArmando-l9p,Kemarin sama pak Fahrul Rochman sudah ditarik kulit begu ganjang sampai 500 kulit samak itu .. mirip mirip kulit mengeras seperti kulit begu ganjang...eh besoknya pak Fahrul nya lari nggak mau lagi di bantuin... katanya dia capek seharian cuci baju di dapur...ogah besok aja ktny bgt...trus begini buk daging saya rasanya mengeras trus di bolak balik mirip mirip dengan kulit begu ganjang...bisa di lepaskan saya kaya kulit sapi kikil sapi itu 😅,0
@JohanArmando-l9p,"Kulit begu ganjang yang di badan kita itu kan penyakit ya buk....saya bisa minta tolong Ndak...biar bisa dilepaskan dari kulit begu ganjang yang keras sekali seperti kikil sapi itu loh buk.. dilepaskan kulit begu ganjang nya...saya dengan buk John,,, ya buk tolong in saya",0
@pwandause,orang surabaya ngumpul dongg❤,0
@putripebriyanti253,Penonton setia dms kumpul disini ❤❤❤❤😊😊😊😊,0
@DiahSasulee,😂 sumpah ngakak sm nyai mas Nunuk ...bs ya sebecanda itu😅,0
@NiscaCntk,waaa sya penasrannnnnnnn😊,0
@ramaputrapratamasakti2326,"<a href=""https://www.youtube.com/watch?v=xOg20MgYZTY&amp;t=1346"">22:26</a> ada suara cewe gasii?",0
@NduttNdell-q7c,Pak dem dan nyai... Tlg dong wktu penelusuran ngundang kak Rudy ruach dan kak arbi...,0
@permatamedikaii7248,Ayoo upload Vidio baru nya.. Ga sabaran aku 😅😅😅,0
@Algamaulana-b1t,Kenapa bunda ana tudungnya dibuka cantikan pake kerudung kan itu aurat,0
@rudykohardinata583,Hmmm kayanya ada pusaka disana.. bener gak ya? Haha,0
@gibransatya-n9f,Asik bgt ada bang mongol,0
@nungpipot6245,nunggu eps terkhr kaaa... semoga tayang di youtube,0
@ardilanov9495,Jurnal kisah misteri dooong Adain lagiiii. Th 2024 nggak ada padahal udah ditunggu iiinn,0
@iisfauziah7178,Oh skrg harus nonton di apk yang bayar saya nonton dr blum 1 jutq subscribe loh ka sara,0
@irayuliana6593,Serius g slh denger?? Menit ke 14.32 ada yg bilang &quot;gpp&quot; gitu😭😭,0
@Putriiii18,Huaaa apa cuma gw yg today buka tutup yutoube yaaa walupun belum ada notif muncul😭😂,0
@enimarya9272,Episode 6 yang di Surabaya kok terakhir bersambung ya? Apakah ada lanjutannya lagi?,0
@TBPTutorial10,luka dada sebelah kanan,0
@Anakhoirunnisa-y8i,nyai pak dem pliss lanjutannya di lanjut di YouTube yaa🙏,0
@RahmaAida-wp2qg,Episode 6 tayang di youtube donk nyai😢😢,0
@RahmaAida-wp2qg,Ayo donk nyai tayangkan di youtube😢😢,0
@hiedhanh,Dms+ gabisa bayar pervideo lagi yak skrg 💔,0
@novieramadhany3609,Plisss yg eps. terakhir tayang di youtube yaa pak dem mbk sara 😭🙏,0
@irdamafina2480,Ibunya ko david itu yg dicritakan rambut panjang pakek baju abu2 terus mukanya galak tapi nggak jahat. Atau yang cewek jalan agak bungkuk dan tangannya panjang2,0
@estisetianingsih4693,"Kak @sarawijayanto saya baru nonton tp knp rasanya pusing, mual gitu apa ada pengaruh dari sosok 2 ular ini?",0
@irdhanwethario6982,"<a href=""https://www.youtube.com/watch?v=xOg20MgYZTY&amp;t=1007"">16:47</a> itu Sai Baba nya prindapan dulu kan ? Kok bisa dipajang yaa potonya dsana🤔",0
@jhendybhernar2355,"Ini aja rela nyolong wifi tetangga, demi bela²in nonton dms. boro² di suruh lgi berlangsung dms+ cuman buat untuk nonton eps selanjutnya. Parah emang ngk niat menghibur.",0
@DendiRabbani,Ini deket rumah aku sebenernya gak usah jauh&quot;. Gedung juang 45 depan gedung oscar itu juga peninggalan dan banyak cerita. Tukul jalan&quot; pernah kesana,0
@DendiRabbani,Ini deket rumah aku sebenernya gak usah jauh&quot;. Gedung juang 45 depan gedung oscar itu juga peninggalan dan banyak cerita. Tukul jalan&quot; pernah kesana,0
@DendiRabbani,Ini deket rumah aku sebenernya gak usah jauh&quot;. Gedung juang 45 depan gedung oscar itu juga peninggalan dan banyak cerita. Tukul jalan&quot; pernah kesana,0
@DendiRabbani,Ini deket rumah aku sebenernya gak usah jauh&quot;. Gedung juang 45 depan gedung oscar itu juga peninggalan dan banyak cerita. Tukul jalan&quot; pernah kesana,0
@anggunsofial6192,Tayangin di ytb dong pak dem,0
@MaurineJulie-hj5en,Fadi mana ya?maaf ya skdr bertanya,0
@nunungnurhasanah5771,Episode 4 nya gak ada yaa,0
@MissAlay-j7w,Langganan di apk murah ko ..cuma 49..,0
@Adit_Badak,"<a href=""https://www.youtube.com/watch?v=xOg20MgYZTY&amp;t=1345"">22:25</a> Suara apaan nih?",0
@ulfaembem,"jdi gak semngat nonton ny,gak di tayangin di you tobe semua",0
@ArpenPomi,Bang pad kmn sih ko gk keliatan,0
@sitisunawati7211,Ini ibu ko david gentayangan mksd ny???😢,0
@dindaginanjarputri9252,rumah david tolong banget di yt ajaaaaaa yaaaa tayangnyaaa 😢,0
@sitisunawati7211,Mnddak terrusdy rusdy nh,0
@MuhammadSandi-c4h,"Tim dms semoga komen saya dibaca ya,coba kalo ada waktu mampir di gresik,lokasi tepatnya ada  di perumahan citralend kedamean gresik,dulunya perumahan elite tapi sekarang sudah terbengkalai lama,dan tempatnya sangat angker,terimakasih❤",0
@whyalwayscella2673,"<a href=""https://www.youtube.com/watch?v=xOg20MgYZTY&amp;t=315"">5:15</a> salfok mas wisnu ternyata pake buku canson xl buat gambar😍",0
@PakYonosmartphone,Mau tanya dong kalo langganan misal 1bulan itu bisa liat konten&quot; terdahulu jg ga si?,0
@ulfaaprilia7446,"<a href=""https://www.youtube.com/watch?v=xOg20MgYZTY&amp;t=1348"">22:28</a> ada suara aneh nggak sih",0
@astontio5775,Ceritanya makin ke sini waaahhhh .<br>Makin ngak nyambung ...<br>Ke mana- mana . <br>Kebanyakan orang malah bingung siapa yg di fokusin .<br>Jadi hilang apa manfaat nontonnya.,0
@erwinani9222,Mas rusdy pertama penelusuran ikut dms tapi udah serasi bgt. Suka,0
@erwinani9222,Mas rusdy pertama penelusuran ikut dms tapi udah serasi bgt. Suka,0
@erwinani9222,Mas rusdy pertama penelusuran ikut dms tapi udah serasi bgt. Suka,0
@Ngging,&quot;ini ibu saya&quot; &quot;hah&quot; plz penasaran 😭😭😭,0
@anisapurnamasari7169,"aku udah langganan dms+ yg reguler, kok cuman keluar audio aja tapi gaada gambarnya hitam. udah coba restart hp tapi tetep, ada yg sama ga gaes😭",0
@elsafanyluluk7540,"lagi nyari komen &quot;imut banget cekukan mas de&quot; 😂😂😂<a href=""https://www.youtube.com/watch?v=xOg20MgYZTY&amp;t=3082"">51:22</a>",0
@isnanasir9083,Yaampun..tolong tayangin eps 6 nya di youtube jg dong,0
@Churamanase,Mas day stlh sering gabung sm DMS auranya tmbh keluar.pokoknya seneng bnget klo ada bang day didms🎉,4
@FridaLucianna,Horor + komedi ini ma 😂😂,0
@pipitrahayuu2518,Allhamdulilah akhirnya bisa didownload juga episode ini 🤲 kemarin sempat kendala dibatasin sepertinya 😢<br>Akhirnya bisa nonton juga 😘 Untuk Mami dan Pak Dem sehat selalu 🥰 Love U 🍅🍅🍅,0
@ashatumbu,Sepanjang nonton cuma bisa bilang &quot;Masya Allah cantiknnya mbak Sara&quot;,0
@zialaila,Assalamu&#39;alaikum nyai ke desa ku yuukk di depan rumahku ada situs peninggalan Majapahit namanya candi dermo ... Kayaknya menarik😢😢,0
@devierica1667,Jadi penasaran eps 6😭😭😭 tapi gak bisa nonton di dms+ 😢,0
@mayayulianti1859,Mba sara klu episode ini dibagi2 Ama dms+ JD agak MLS nonton nya,0
@sipuserspendamojokerto6961,"Next spesial Mojokerto nyai, walaupun Mojokerto kecil tapi menyimpan banyak sejarah, termasuk tentang sejarah kerajaan majapahit, dan sejarah Mojokerto yang pernah di singgahi oleh Bung Karno. Banyak sekolah sekolah peninggalan Belanda yang saat ini masih beroperasi yang berganti menjadi sekolah SMP dan SD.",0
@Churamanase,S7 kerumah persugihan creepe bu lilis😰,0
@patriciavivinac,"<a href=""https://www.youtube.com/watch?v=xOg20MgYZTY&amp;t=1346"">22:26</a> kek ada suara cwe deh",0
@WulanSari-en1lo,kak sara minta tolong kalo semisalkan mau liat dari jauh tu bisa ngga ya😢,0
@PqAaransa,dlu aku bisa liat yg ga bsa diliat org karna ak ngga mampu ak mnta di tutupin sama alm om ak yg paham skrng ak penasaran sprti apa mrka 🫵,0
@nurlelalela9078,Ka tayang di yutup kkk plisss,0
@nurlelalela9078,Yah pakk pliss di yutuppp ajah,0
@jihanapuspita4460,Coba pak demian dan team penelusuran di apartemen kebon sari yang sekarang viral juga karena habis dibuat film panggonan wingit 2,0
@triwira3493,mau tanya baru berlangganan di dms+ kok nyari yang Surabaya part 2 gak ada ??,0
@Nuna66y,Penasaran banget sama episode 6 nya 😢😢😢,0
@ginanjaresaputra3013,"Bikin episode Surabaya lagi mbak, mungkin episode 7 bisa ke apartemen angker di Surabaya selatan, bangunan gedung mangkrak di Jalan Ngagel, penjara Kalisosok atau penjara Koblen di Jalan Bubutan.",3
@nyonyasintul,"<a href=""https://www.youtube.com/watch?v=xOg20MgYZTY&amp;t=761"">12:41</a>  kok kayak ada penampakan atau apa yah di tangan kiri bang mongol ..sak mukul itu mbk kunti..",0
@cahayaani3766,Mba bang fadi nya ud lama kok gak nampak gabung 🙏,0
@DeeHtb,"Deg deg an bgt , horornya kerasa smpe k sni , tba2 dnger2 suara2 anehhh 😭",0
@novatriana5406,"Kadang semesta seolah olah sudah mengatur semuanya saat penelusuran kali ini..saat penelusuran d surabaya semua team inti yaitu mbak sara, bunda,mas dai,mas wisnu energinya sangat terkuras dan mbak akhirnya minjam energi bg Fad yg kebetulan tidak bsa ikut d penelusuran,,,andai bg Fad ikut entah energi siapa yg mgkn bisa d pinjam oleh mbak....begitulah semesta mengatur semua dengan indahnya saat hati kita berniat baik dan selalu memendarkan energi yg positif,,,DMS Naik terus❤🍅",0
@RosihinRosihinrosihin,Biasa di download  jdi nunggu wifi nyangkut ajah ini mah nonton nya huhu jaya terus dms,0
@itsme.lia372,"Mbaa sara kenapa ya setiap aku nonton videonya mbaa aku sering tidur ketindihan,... Sempet gak percaya trs nonton lagi ketiduran ketindihan bisa smpai 5× dlm sekali tidur jadi skrng ga pernah lagi nonton pdhl dei dulu suka nontonin:(",0
@DedeRohmat-oh5zp,Kok gak bisa di download ya😢,0
@serapart1610,Tayangin di YouTube dong episode 6nya plis mba... Saya g ngerti juga soalnya nonton di aplikasi Dms+,0
@taufiqrisqiono9847,"Kenapa di DMS+ vidionya lelet banget loading nya beda sama di youtube, apa ada yg sama disini?",0
@LinaLina-bf6td,bgt mama,0
@AydizchaAulia,Knpa ngk bisa di dowload ya kak,0
@rismawiwik8782,Maaf sy ketawa sama cegukan mas day 😂😅,0
@LauraChandra,Kak Sarah coba ke TUBAN Jawa timur,0
@kenmsbc5281,"<a href=""https://www.youtube.com/watch?v=xOg20MgYZTY&amp;t=982"">16:22</a> di minit ini ketika om mongol baling kayu ke salah satu bilik di depan , ada bayangan kepala di tingkap 😮",1
@islahiyah0073,Mau langganan di DMS+ gak bisa bisa 😢,0
@kaisarvenomKVN758,"itu suara siapa ada suara cewe <a href=""https://www.youtube.com/watch?v=xOg20MgYZTY&amp;t=1346"">22:26</a>",0
@rahmadewi2296,Nanti lain hari bisa ke rumah hantu darmo dan makam peneleh kak,0
@King_Aaby.99,ADMIN KOJ GAK BISA DI DOWLOAD OFFLINE😭😭,0
@vienindi8833,Kenapa di dms+ aku ga bisa nonton 😭😭😭😭<br>Padahal penasaran sama cerita nya,0
@anandayasin3188,Joyoboyo?itu daerah rm sya d jawa😢,0
@anandayasin3188,Joyoboyo?itu daerah rm sya d jawa😢,0
@Miamoryouka,love it,0
@Ateuika,Bang fad mana pak dem,0
@onlyzee4u,"pa dem dan tim tolong perbaiki aplikasi dms+, saya berlangganan demi bisa menonton eps yang tidak tayang d yt tetapi tidak memuaskan dikrenakan video terus loading dan error seakan jaringan lemot, pdhl jaringannya sangat stabil. tolong ditindak lanjuti 🙏🏻",3
@SitiMaesaroh-o2d,Sayang bnget gk bisa di donlot,0
@galihyuliarso6358,G bisa di download 😢,0
@RohmatunNikmah-ur6jj,"Berlangganan nantik aja kalau eps. Udah full masih bisa kan gaes😁 , biar sekalian gtu sekali berlangganan terus udah",0
@abellia7192,"dimenit <a href=""https://www.youtube.com/watch?v=xOg20MgYZTY&amp;t=872"">14:32</a> itu ada yang ngomong gapapa tapi halus banget atau salah dengar yaa🥲",0
@moonn09,Kaget pas ko david ngomong ini ibu saya,0
@lilikhariroh8321,Kok gak bisa di download kaka,0
@WulanIndah-pm8wc,Miiiin mana kelanjutan yg di rumah kosong,0
@NovitaSari-ix4uf,Bnr2 merinding semua2 nya pas ko vadi bilang itu ibu saya 😭😭😭😭😭,0
@septhya,"itu dimenit <a href=""https://www.youtube.com/watch?v=xOg20MgYZTY&amp;t=763"">12:43</a> sebelah kiri bang mongol di ruangan ada yg ngintip warna putih itu kru team atau bukan sih?",0
@sekarayusarsatyas6974,Fadi iskandar kemana?,0
@wulanwulan1998,Deg&quot;an pas di zoom ke tangga siluman ularnya😮,0
@SaputriAzalia-y1l,Ka ajakin ka adinia wirasti penelusuran dong sesekalii,0
@vall939,"semangattt yaa semuanya, pokoknya kalian semua kerennnn pollll🔥🔥 tove u tomat❤️🍅",0
@momycetar1619,Kok gak bisa di download,0
@suny571,"Rindu bang fad, jomplang bgt low ga ada dia, dia itu pinter bgt low nanya nanya jelas bgt pokoknya",0
@lenymutiah3278,bunda anna looknya cocok pake jilbab,0
@febrieyustisia9710,KENTAAAAANG COOOOK,0
@safiadinda2571,"<a href=""https://www.youtube.com/watch?v=xOg20MgYZTY&amp;t=1276"">21:16</a> itu deket mas nunu apaan ya yg nongol?",0
@real_dyr90,D menit 12.41-12.42 pas mas Mongol mukul bagian tngga itu ad kameramen atau ga si. Aku liat ad kpla nongol. Tp pas d terusin video ny. Itu ga ad siapa2,0
@cyndermoont9002,Knp ya eps 5 ini ko gk bisa di Download biar nntn offline,0
@nitanms8583,Pliase pak dem epsode lanjutan yg in ada diyoutobe🥺,0
@nurulhaqiqi4308,Ntah kenapa kalau udah ada bg Mongol merinding parah aku😱,0
@achmadariyoyuviluddin2599,"<a href=""https://www.youtube.com/watch?v=xOg20MgYZTY&amp;t=760"">12:40</a> liattt dahh ada yg nengok ga sii waktu bg mongol mukul pake tongkatt😩😩",0
@wawanhermawan3615,Lanjut nyai,0
@ergaluhsetiarum5868,kak day lucuu bangetttt ceguk an nya,0
@EcaPutri-nw4dl,penasaran bgt kelanjutan nya,0
@MiladanurAfifah,Knpa ga bisa di download si ka,0
@rahmatismail70,Menit 22.27 seperti ada suara cewek,0
@ciciagustin6511,Kenapa nda di tanyangi di youtube setelah brapa bulan di dms+ gtuuu 😢😢 kan bisa digituin,0
@DeviAvitasari-u6g,"Udah bela2in langganan dms plus giliran di play ga bisa sering macet juga pdhl sinyal bagus,,aku replay ttp ga bisa please tolong lebih di benahi lagi kasian yang udah bayar tapi kualitas jelek🥹",0
@rahelrossy3232,Haha mas mongol masih ngelawak aja lg &quot;faktor u&quot;,0
@sheelaseevia,Eps 6 please tayangin di ytb😭,0
@K1ngFAN,Kenapa ga bisa di download lagi ya😢😢,0
@Archi1010.,seharusnya kakak sarah dan tim habis dari benteng kedung cowek mampir dikit ke kuburan keramat di kenjeran deket watu&quot; itu terkenal macem&quot; kak pokoknya tempat paling angker,0
@jilanrafiqi1686,mau nanya dong ini aku sudah berlangganan di dms+ tapi tayangan gambarnya tidak muncul yaa cuma muncul audionya saja? tolong bantu dong ini bagaimana😢,0
@nunukariyekti633,Aku di youtube ok dms+ok penasaran klo bersambung. Di apk dms+ 45rb/bln ya. Tp klo mau nonton spesial US anabelle &amp; preston castle beda lg bayar nya.,0
@AgusHermawan-hn4fq,Eps 6 sudah tayang di DMS+,0
@mulikazizah107,Di Sidoarjo ada pabrik gula kak lokasinya di kecamatan Tulangan dan itu pabrik dari jalan Belanda dan tutup sudah lama sekali🙏🙏yang bikin penasaran itu ada ruangan bawah tanah nya kak...🙏,0
@nabilahrachmatindya4070,Tayangin di yutubbb,0
